depart_date,our_2p,bx_direct_pp,observed_at,note
2026-07-10,573000,305356,2026-06-21,2박4일 7/10금→7/13월
2026-07-12,428000,316356,2026-06-21,2박4일 7/12일→7/15수
2026-07-17,573000,335678,2026-06-21,2박4일 7/17금→7/20월
2026-07-19,428000,304831,2026-06-21,2박4일 7/19일→7/22수
2026-07-21,584000,326202,2026-06-21,3박5일 7/21화→7/25토
2026-07-24,684000,336202,2026-06-21,2박4일 7/24금→7/27월
2026-07-26,517000,336202,2026-06-21,2박4일 7/26일→7/29수
2026-07-28,650000,493331,2026-06-21,3박5일 7/28화→8/1토 (경유 최저가 344200, 직항 기준)
2026-07-31,684000,531960,2026-06-21,2박4일 7/31금→8/3월 (경유 최저가 510855, 직항 기준)
2026-08-02,584000,520400,2026-06-22,2박4일 8/2일→8/5수 (휴가철 직항 고가)
2026-08-04,650000,490400,2026-06-22,3박5일 8/4화→8/8토
2026-08-07,684000,334831,2026-06-22,2박4일 8/7금→8/10월
2026-08-09,517000,334831,2026-06-22,2박4일 8/9일→8/12수
2026-08-11,650000,334831,2026-06-22,3박5일 8/11화→8/15토
2026-08-16,473000,367525,2026-06-22,2박4일 8/16일→8/19수
2026-08-18,617000,334831,2026-06-22,3박5일 8/18화→8/22토
2026-08-21,650000,365831,2026-06-22,2박4일 8/21금→8/24월
2026-08-23,473000,304831,2026-06-22,2박4일 8/23일→8/26수
2026-08-25,617000,553331,2026-06-22,3박5일 8/25화→8/29토
2026-08-28,650000,405831,2026-06-22,2박4일 8/28금→8/31월
2026-08-30,473000,325831,2026-06-22,2박4일 8/30일→9/2수
2026-09-01,584000,440266,2026-06-22,3박5일 9/1화→9/5토
2026-09-04,573000,471637,2026-06-22,2박4일 9/4금→9/7월
2026-09-06,428000,304831,2026-06-22,2박4일 9/6일→9/9수
2026-09-08,584000,440266,2026-06-22,3박5일 9/8화→9/12토
2026-09-11,573000,471637,2026-06-22,2박4일 9/11금→9/14월
2026-09-13,428000,304831,2026-06-22,2박4일 9/13일→9/16수
2026-09-15,584000,440266,2026-06-22,3박5일 9/15화→9/19토
2026-09-18,573000,471637,2026-06-22,2박4일 9/18금→9/21월
2026-09-20,428000,304831,2026-06-22,2박4일 9/20일→9/23수
2026-09-27,428000,422331,2026-06-22,2박4일 9/27일→9/30수
2026-09-29,584000,616357,2026-06-22,3박5일 9/29화→10/3토 (개천절 연휴 고가)
2026-10-02,684000,874285,2026-06-22,2박4일 10/2금→10/5월 (개천절 연휴 급등)
2026-10-09,684000,971400,2026-06-22,2박4일 10/9금→10/12월 (한글날 연휴 급등, 직항 2번째카드)
2026-10-11,517000,472484,2026-06-22,2박4일 10/11일→10/14수
2026-10-13,650000,561400,2026-06-22,3박5일 10/13화→10/17토
2026-10-16,684000,561400,2026-06-22,2박4일 10/16금→10/19월
2026-10-18,517000,531400,2026-06-22,2박4일 10/18일→10/21수
