product,depart,our_2p,market_2p
에어마카오 2박3일,7/10,956000,1282918
에어마카오 2박3일,7/11,956000,1092400
에어마카오 2박3일,7/12,888000,1131800
에어마카오 2박3일,7/13,888000,1131800
에어마카오 2박3일,7/14,888000,1335600
에어마카오 2박3일,7/15,888000,1045686
에어마카오 2박3일,7/16,956000,995146
에어마카오 2박3일,7/17,956000,1325800
에어마카오 2박3일,7/18,956000,923336
에어마카오 2박3일,7/19,888000,973344
에어마카오 2박3일,7/20,888000,923336
에어마카오 2박3일,7/21,888000,984200
에어마카오 2박3일,7/22,888000,1064200
에어마카오 2박3일,7/23,1182000,1056898
에어마카오 2박3일,7/24,1182000,1006276
에어마카오 2박3일,7/25,1182000,1056898
에어마카오 2박3일,7/26,1114000,1036866
에어마카오 2박3일,7/27,1114000,1056898
에어마카오 2박3일,7/28,1114000,1036866
에어마카오 2박3일,7/29,1114000,1092400
에어마카오 2박3일,7/30,1182000,1306400
에어마카오 2박3일,7/31,1182000,1466400
에어마카오 2박3일,8/1,1182000,1064200
에어마카오 2박3일,8/2,1114000,1064200
에어마카오 2박3일,8/3,1114000,1064200
에어마카오 2박3일,8/4,1114000,1064200
에어마카오 2박3일,8/5,1114000,1064200
에어마카오 2박3일,8/6,1182000,1064200
에어마카오 2박3일,8/7,1182000,1006276
에어마카오 2박3일,8/8,1182000,1056898
에어마카오 2박3일,8/9,1114000,1064200
에어마카오 2박3일,8/10,1114000,1056898
에어마카오 2박3일,8/11,1114000,1006276
에어마카오 2박3일,8/12,1114000,1064200
에어마카오 2박3일,8/16,1114000,1056898
에어마카오 2박3일,8/17,1114000,1006276
에어마카오 2박3일,8/18,1114000,1056898
에어마카오 2박3일,8/19,1114000,1064200
에어마카오 2박3일,8/20,1182000,1056898
에어마카오 2박3일,8/21,1182000,1006276
에어마카오 2박3일,8/22,1182000,1056898
에어마카오 2박3일,8/23,978000,1006276
에어마카오 2박3일,8/24,978000,1046406
에어마카오 2박3일,8/25,978000,1006276
에어마카오 2박3일,8/26,978000,1064200
에어마카오 2박3일,8/27,1046000,1064200
에어마카오 2박3일,8/28,1046000,1079200
에어마카오 2박3일,8/29,1046000,1006276
에어마카오 3박4일,7/23,1138000,1046406
에어마카오 3박4일,7/24,1138000,1006276
에어마카오 3박4일,7/25,1138000,1076918
에어마카오 3박4일,8/1,1138000,1064200
에어마카오 3박4일,8/6,1138000,1046406
에어마카오 3박4일,8/7,1138000,1006276
에어마카오 3박4일,8/20,1138000,1064200
에어마카오 3박4일,8/21,1138000,1064200
에어마카오 3박4일,8/22,1138000,1064200
